"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-14","0.20",,"44","53","34"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-15","0.01",,"54","58","50"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-16","0.05",,"41","56","35"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-17","0.06",,"35","39","34"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-18","0.09",,"33","37","31"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-19","0.00",,"34","36","33"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-20","0.00",,"31","34","27"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-21","0.00",,"32","36","28"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-22","0.00",,"34","37","30"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-23","0.01",,"40","43","36"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-24","0.00",,"47","58","42"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-25","0.00",,"48","59","37"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-26","0.00",,"45","53","36"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-27","0.00",,"53","60","46"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-28","0.00",,"53","58","50"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-29","0.00",,"41","51","38"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-30","0.00",,"36","42","30"
"RIE00100818","BELGRADE OBSERVATORY, RI","2017-12-31","0.00",,"43","51","35"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-01","0.00",,"44","55","35"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-02","0.03",,"43",,
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-03","0.43",,"42","49","36"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-04","0.01",,"45","51","41"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-05","0.00",,"51","60","42"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-06","0.00",,"54","63","47"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-07","0.00",,"55","64","51"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-08","0.00",,"53","61","46"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-09","0.00",,"47","50",
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-10","0.00",,"42","45","40"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-11","0.00",,"42","48","38"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-12","0.00",,"42","45","41"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-13","0.00",,"38","41",
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-14","0.00",,"30",,
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-15",,,"27",,
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-16",,,"35",,"24"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-17",,,"45","54",
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-18","0.00",,"39","46","34"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-19","0.00",,"44","54","38"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-20","0.14",,"37",,"35"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-21","0.00",,"36","39","33"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-22","0.32",,"34","38",
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-23","0.00",,"34","37","31"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-24","0.00",,"36","43",
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-25","0.00",,"36","47","30"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-26","0.00",,"40","51","32"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-27","0.00",,"40","48","34"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-28","0.00",,"34","37","31"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-29","0.00",,"42","55","30"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-30","0.00",,"47","58","40"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-01-31","0.00",,"46","58","38"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-01","0.00",,"51","62","41"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-02","0.00",,"54","64",
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-03","0.11",,"39","45",
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-04","0.50",,"36","41","34"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-05","0.00",,"37","45","31"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-06","0.00",,"38","46","32"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-07","0.00",,"43","54","40"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-08","0.02",,"39",,
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-09","0.12",,"37","41",
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-10","0.00",,"35","40",
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-11","0.02",,"36","39","35"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-12","0.01",,"39","46","33"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-13","0.00",,"36","39",
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-14","0.43","0.8","34","38","33"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-15","0.06",,"36","38","34"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-16","0.00",,"40","48","34"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-17","0.06",,"42","47","36"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-18","0.00",,"38",,
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-19","0.10",,"34","38","31"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-20","0.06",,"35","41",
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-21","0.26","1.2","36","40","33"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-22","0.21","0.4","37","41","33"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-23","0.04",,"37","42","34"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-24","0.00",,"32",,
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-25","0.01",,"25","27","22"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-26","0.00",,"21",,
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-27","0.23","5.1","20","26","17"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-02-28","0.04","4.7","20",,"18"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-01","0.00","3.5","22","29","15"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-02","0.22","3.5","31",,"25"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-03","0.12","2.8","33","37","30"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-04","0.04",,"31",,"30"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-05","0.04","1.2","35","42","28"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-06","0.01","0.4","43","56","36"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-07","0.22",,"49","59","38"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-08","0.00",,"44",,
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-09","0.18",,"49","62","36"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-10","0.00",,"55","66","42"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-11","0.00",,"62","72","52"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-12","0.07",,"60",,
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-13","0.00",,"54","62","48"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-14","0.04",,"51","56","47"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-15","0.01",,"53","64","42"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-16","0.00",,"54","57",
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-17","0.31",,"54","63","49"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-18","0.05",,"36",,
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-19","0.05","0.4","33",,
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-20","0.22","0.4","32","35","29"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-21","0.19","2.8","32",,"30"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-22","0.08","4.3","30","33","27"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-23","0.53","5.1","31","35","27"
